Year,python,r,matlab
2009 Jan,631,8,19
2009 Feb,633,9,27
2009 Mar,766,4,24
2009 Apr,768,12,32
2009 May,1003,2,42
2009 Jun,1046,5,44
2009 Jul,1165,51,39
2009 Aug,1143,47,34
2009 Sep,1169,139,51
2009 Oct,1424,73,71
2009 Nov,1562,94,117
2009 Dec,1552,80,99
2010 Jan,1952,94,99
2010 Feb,1872,122,111
2010 Mar,2076,140,123
2010 Apr,1817,160,187
2010 May,2017,139,207
2010 Jun,2214,178,146
2010 Jul,2607,235,152
2010 Aug,2498,283,140
2010 Sep,2254,236,165
2010 Oct,2671,214,163
2010 Nov,2619,244,156
2010 Dec,2441,221,173
2011 Jan,2913,251,177
2011 Feb,3024,322,292
2011 Mar,3763,423,431
2011 Apr,3359,476,382
2011 May,3538,428,306
2011 Jun,3485,444,313
2011 Jul,3688,454,286
2011 Aug,3849,587,258
2011 Sep,3526,613,267
2011 Oct,3639,623,401
2011 Nov,3889,609,433
2011 Dec,3555,608,388
2012 Jan,4232,691,461
2012 Feb,4517,815,558
2012 Mar,5073,892,579
2012 Apr,4948,849,624
2012 May,5133,882,542
2012 Jun,5295,975,525
2012 Jul,5751,1125,561
2012 Aug,5882,1093,599
2012 Sep,5273,1061,553
2012 Oct,6154,1270,755
2012 Nov,6408,1348,848
2012 Dec,5636,1194,663
2013 Jan,6605,1515,728
2013 Feb,6793,1678,817
2013 Mar,7680,1858,1000
2013 Apr,7975,1849,1060
2013 May,7862,1795,1025
2013 Jun,7640,1785,906
2013 Jul,8656,1980,997
2013 Aug,7974,1930,915
2013 Sep,7999,1723,899
2013 Oct,9539,2108,1117
2013 Nov,9546,2194,1211
2013 Dec,8306,1869,1037
2014 Jan,9892,2366,1122
2014 Feb,9951,2624,1244
2014 Mar,11483,2830,1433
2014 Apr,10839,2748,1421
2014 May,9330,2603,1264
2014 Jun,8967,2407,1036
2014 Jul,9999,2654,1114
2014 Aug,9170,2490,928
2014 Sep,8829,2385,1077
2014 Oct,9651,2796,1238
2014 Nov,9652,2727,1245
2014 Dec,8886,2315,996
2015 Jan,9757,2717,1019
2015 Feb,10264,2984,1196
2015 Mar,11685,3581,1393
2015 Apr,11522,3341,1535
2015 May,11286,3440,1405
2015 Jun,11887,3448,1227
2015 Jul,12392,3999,1132
2015 Aug,11296,3509,1027
2015 Sep,11040,3349,942
2015 Oct,12578,3704,1062
2015 Nov,12384,3556,1126
2015 Dec,11446,3129,864
2016 Jan,12439,3561,937
2016 Feb,13334,3621,1082
2016 Mar,14173,4075,1248
2016 Apr,13775,4167,1127
2016 May,13207,3822,1145
2016 Jun,13009,3884,1001
2016 Jul,12943,3768,905
2016 Aug,13006,3804,941
2016 Sep,12424,3318,852
2016 Oct,13616,3808,901
2016 Nov,14296,3585,786
2016 Dec,12889,3136,718
2017 Jan,14388,3519,796
2017 Feb,14901,3706,854
2017 Mar,17280,4637,1080
2017 Apr,15752,4280,959
2017 May,16291,4349,1005
2017 Jun,16173,4490,804
2017 Jul,17064,4611,736
2017 Aug,17472,5051,776
2017 Sep,16949,4641,662
2017 Oct,18735,5053,848
2017 Nov,18935,5117,875
2017 Dec,16207,4022,583
2018 Jan,16307,4209,577
2018 Feb,16393,4517,537
2018 Mar,17970,5112,563
2018 Apr,17030,4746,605
2018 May,17639,4738,529
2018 Jun,16860,4508,458
2018 Jul,17988,4417,463
2018 Aug,17874,4141,404
2018 Sep,16158,3809,431
2018 Oct,18329,4394,519
2018 Nov,18215,4278,500
2018 Dec,15537,3392,413
2019 Jan,17167,3997,410
2019 Feb,17749,4301,364
2019 Mar,20144,4552,458
2019 Apr,20054,4660,492
2019 May,19128,4359,462
2019 Jun,17515,4005,365
2019 Jul,20041,4265,386
2019 Aug,20257,4486,371
2019 Sep,19207,4474,362
2019 Oct,23414,5138,523
2019 Nov,23602,4883,479
2019 Dec,20058,4150,349
